name,count,pctwhite,pctblack
SMITH,2376206,73.35,22.22
JOHNSON,1857160,61.55,33.8
WILLIAMS,1534042,48.52,46.72
BROWN,1380145,60.71,34.54
JONES,1362755,57.69,37.73
MILLER,1127803,85.81,10.41
DAVIS,1072335,64.73,30.77
GARCIA,858289,6.17,0.49
RODRIGUEZ,804240,5.52,0.54
WILSON,783051,69.72,25.32
MARTINEZ,775072,6.04,0.52
ANDERSON,762394,77.6,18.06
TAYLOR,720370,67.8,27.67
THOMAS,710696,55.53,38.17
HERNANDEZ,706372,4.55,0.38
MOORE,698671,68.85,26.92
MARTIN,672711,77.47,15.3
JACKSON,666125,41.93,53.02
THOMPSON,644368,72.48,22.53
WHITE,639515,67.91,27.38
LOPEZ,621536,5.85,0.61
LEE,605860,40.09,17.41
GONZALEZ,597718,4.76,0.37
HARRIS,593542,53.88,41.63
CLARK,548369,76.84,18.53
LEWIS,509930,60.97,33.83
ROBINSON,503028,51.34,44.1
WALKER,501307,61.25,34.17
PEREZ,488521,5.95,0.48
HALL,473568,75.11,20.75
YOUNG,465948,68.91,23.79
ALLEN,463368,70.24,25.14
SANCHEZ,441242,5.77,0.5
WRIGHT,440367,68.3,27.36
KING,438986,72.8,22.02
SCOTT,420091,62.6,32.26
GREEN,413477,59.33,36.23
BAKER,413351,82.08,13.63
ADAMS,413086,76.17,19.2
NELSON,412236,80.29,14.93
HILL,411770,66.83,28.42
RAMIREZ,388987,4.4,0.29
CAMPBELL,371953,76.47,19.13
MITCHELL,367433,63.55,31.52
ROBERTS,366215,79.56,15.86
CARTER,362548,60.51,34.99
PHILLIPS,351848,78.95,16.36
EVANS,342237,70.65,25.05
TURNER,335663,66.67,29.31
TORRES,325169,6.05,0.58
PARKER,324246,71.49,24.09
COLLINS,317848,73.92,21.7
EDWARDS,317070,65.16,30.21
STEWART,312899,71.78,23.83
FLORES,312615,5.57,0.47
MORRIS,311754,75.92,19.29
NGUYEN,310125,1.26,0.18
MURPHY,300501,85.05,11.03
RIVERA,299463,5.92,1.06
COOK,294795,83.52,12.27
ROGERS,294403,77.8,17.66
MORGAN,276400,78.47,16.47
PETERSON,275041,86.29,9.58
COOPER,270097,70.36,25.26
REED,267443,73.51,21.97
BAILEY,265916,74.77,21.14
BELL,264752,63.57,31.78
GOMEZ,263590,6.1,0.81
KELLY,260385,80.39,15.48
HOWARD,254779,66.83,28.69
WARD,254121,77.79,17.77
COX,253771,84.48,11.55
DIAZ,251772,6.17,0.73
RICHARDSON,249533,62.25,32.77
WOOD,247299,90.06,5.61
WATSON,242432,68.58,26.85
BROOKS,240751,62.72,32.67
BENNETT,239055,79,16.51
GRAY,236713,71.13,24.36
JAMES,233224,54.45,38.09
REYES,232511,5.26,0.75
CRUZ,231065,5.95,0.83
HUGHES,229390,80.6,15.45
PRICE,228756,76.11,19.79
MYERS,224824,86.59,9.75
LONG,223494,82.35,11.75
FOSTER,221040,72,23.19
SANDERS,220902,63.44,31.9
ROSS,219961,71.46,23.67
MORALES,217642,5.6,0.6
POWELL,216553,69.96,25.97
SULLIVAN,215640,89.45,6.78
RUSSELL,215432,79.45,15.79
ORTIZ,214683,5.4,0.64
JENKINS,213737,60.12,35.97
GUTIERREZ,212905,5.21,0.25
PERRY,212644,70.71,24.37
BUTLER,210879,64.75,30.85
BARNES,210426,67.45,28.23
FISHER,210279,84.59,11.28
HENDERSON,210094,62.18,33.2
COLEMAN,208624,52.04,43.83
SIMMONS,201650,60.55,35.26
PATTERSON,198557,70.09,25.66
JORDAN,197212,64.3,30.06
REYNOLDS,195598,83.28,12.5
HAMILTON,194331,72.79,22.65
GRAHAM,194074,72.84,22.72
KIM,194067,2.6,0.36
GONZALES,193934,10,0.86
ALEXANDER,193443,60.91,33.22
RAMOS,193096,7.2,0.92
WALLACE,190760,71.76,23.73
GRIFFIN,190636,66.46,29.77
WEST,188464,77.69,17.8
COLE,187793,77.59,18.2
HAYES,187473,71.64,24.05
CHAVEZ,185865,5.65,0.21
GIBSON,184420,74.57,21.07
BRYANT,183761,60.97,34.68
ELLIS,181934,72.82,22.6
STEVENS,181417,83.4,11.4
MURRAY,178414,77.59,18.13
FORD,178397,64.28,31.4
MARSHALL,177213,68.89,26.35
OWENS,176334,68.09,27.86
MCDONALD,176094,79.19,16.26
HARRISON,175577,71,23.76
RUIZ,175429,6.12,0.48
KENNEDY,171636,82.97,12.98
WELLS,170635,76.31,19.34
ALVAREZ,168817,6.61,0.64
WOODS,168814,60.68,34.66
MENDOZA,168567,4.93,0.38
CASTILLO,165473,5.62,0.77
OLSON,163502,96.03,0.36
WEBB,163481,77.74,18.36
WASHINGTON,163036,5.16,89.87
TUCKER,162933,72.06,23.57
FREEMAN,162686,67.96,27.47
BURNS,162153,82.18,13.63
HENRY,161392,65.06,28.76
VASQUEZ,159989,5.49,0.5
SNYDER,159363,95.37,1.28
SIMPSON,158241,73.29,22.13
CRAWFORD,158121,71.31,24.47
JIMENEZ,157475,4.46,0.31
PORTER,156848,71.19,24.44
MASON,155484,70.99,24.48
SHAW,155172,74.67,20.23
GORDON,154934,67.75,27.22
WAGNER,154516,93.97,2.5
HUNTER,154410,62.92,32.3
ROMERO,153772,10.44,0.46
HICKS,153618,69.46,26.14
DIXON,152015,57.05,38.21
HUNT,151986,76.03,16.33
PALMER,150407,77.87,17.31
ROBERTSON,150299,75.35,20.24
BLACK,150186,76.65,18.56
HOLMES,150166,59.22,36.52
STONE,149802,87.4,7.9
MEYER,149664,96.07,0.45
BOYD,149476,65.64,29.94
MILLS,147909,79.7,16.09
WARREN,147906,72.5,23.09
FOX,147357,89.82,5.68
ROSE,146924,84.23,10.86
RICE,146440,79.65,16.26
MORENO,146088,7.05,0.37
SCHMIDT,145565,96.48,0.28
PATEL,145066,1.55,0.26
FERGUSON,142256,77.54,18.05
NICHOLS,141936,84.29,11.36
HERRERA,140786,5.6,0.37
MEDINA,139353,6.39,0.53
RYAN,139335,93.33,2.82
FERNANDEZ,139302,11.35,1.28
WEAVER,138811,85.71,10.02
DANIELS,138776,57.17,37.83
STEPHENS,138742,76.54,19.22
GARDNER,138660,77.23,18.67
PAYNE,138028,73.69,22.03
KELLEY,137555,85.81,10.21
DUNN,136955,82.35,13.48
PIERCE,136517,82.72,12.63
ARNOLD,136315,83.35,12.63
TRAN,136095,1.56,0.16
SPENCER,134443,71.71,22.55
PETERS,134231,85.16,9.45
HAWKINS,134066,63.6,32.07
GRANT,134034,58.25,36.58
HANSEN,133474,95.64,0.4
CASTRO,133254,8.72,0.66
HOFFMAN,132645,95.45,1.11
HART,132466,82.71,12.92
ELLIOTT,132457,83.87,12.16
CUNNINGHAM,131896,75.56,20.4
KNIGHT,131860,74.79,20.78
BRADLEY,131289,71.21,24.39
CARROLL,131020,85.05,11
HUDSON,130793,69.35,26.22
DUNCAN,130419,78.88,16.48
ARMSTRONG,129982,74.96,20.3
BERRY,129405,73.27,22.26
ANDREWS,129320,74.23,20.84
JOHNSTON,128935,93.13,2.45
RAY,128794,77.59,17.07
LANE,128727,79.36,16.22
RILEY,127960,75.08,20.52
CARPENTER,127073,88.07,8.13
PERKINS,126951,71.52,23.95
AGUILAR,126399,4.7,0.22
SILVA,126164,33.68,1.19
RICHARDS,125653,81.74,13.28
WILLIS,125627,64.74,30.38
MATTHEWS,124839,66.21,29.45
CHAPMAN,124614,81.57,14.11
LAWRENCE,124321,71.93,23.12
GARZA,124130,6.59,0.19
VARGAS,123952,6.2,0.44
WATKINS,122447,64.54,31.38
WHEELER,121684,82.79,12.84
LARSON,121064,96.13,0.39
CARLSON,120124,96.22,0.4
HARPER,119868,70.12,25.64
GEORGE,119778,71.44,17.37
GREENE,119604,70.34,25.52
BURKE,119175,87.74,8.4
GUZMAN,118390,4.73,0.49
MORRISON,117939,81.68,13.8
MUNOZ,117774,5.52,0.3
JACOBS,115540,76.65,15.86
OBRIEN,115385,95.31,1.13
LAWSON,115186,76.3,19.71
FRANKLIN,114859,57.22,37.78
LYNCH,114448,84.22,11.23
BISHOP,114034,86.38,9.71
CARR,113892,75.79,20.07
SALAZAR,113468,6.14,0.28
AUSTIN,113160,69.57,25.5
MENDEZ,112736,5.27,0.81
GILBERT,112406,80.31,14.98
JENSEN,112332,95.44,0.36
WILLIAMSON,112216,79.22,16.74
MONTGOMERY,112144,70.22,25.53
HARVEY,112136,70.7,24.11
OLIVER,111641,66.74,26.81
HOWELL,109634,81.31,14.55
DEAN,109230,78.74,16.23
HANSON,109079,93.87,2.39
WEBER,107866,95.58,1.19
GARRETT,107777,72.43,23.57
SIMS,107244,56.84,39.14
BURTON,107158,69.73,26.03
FULLER,106682,75.53,20.39
SOTO,106631,5.94,0.55
MCCOY,106481,69,26.39
WELCH,105804,85.6,9.83
CHEN,105544,1.68,0.36
SCHULTZ,104962,96.24,0.62
WALTERS,104281,85.31,10.3
REID,104007,63.24,32.01
FIELDS,103242,59.74,35.2
WALSH,103216,95.9,0.96
LITTLE,102718,72.28,23.39
FOWLER,102620,83.34,12.32
BOWMAN,102239,82.9,12.94
DAVIDSON,102044,86.25,9.58
MAY,101726,85.54,9.45
DAY,101676,85.18,10.12
SCHNEIDER,100553,96.67,0.33
NEWMAN,100491,84.97,10.57
BREWER,100465,83.34,12.03
LUCAS,100417,73.57,18.33
HOLLAND,99885,78.86,17.23
WONG,99392,3.33,0.71
BANKS,99294,41.3,54.24
SANTOS,98993,21.93,1.82
CURTIS,98958,79.88,15.42
PEARSON,98728,74.49,21.59
DELGADO,98675,6.45,0.69
VALDEZ,98610,6.84,0.54
PENA,98345,5.92,0.51
RIOS,96569,5.33,0.45
DOUGLAS,96425,61.34,33.49
SANDOVAL,96303,6,0.19
BARRETT,95896,83.22,12.41
HOPKINS,94603,75.56,20.28
KELLER,94300,92.93,3.59
GUERRERO,94152,5.16,0.32
STANLEY,93817,81.04,14.15
BATES,93743,77.09,18.56
ALVARADO,93723,4.79,0.33
BECK,93161,91.73,4.47
ORTEGA,93131,5.69,0.33
WADE,92834,67.49,28.13
ESTRADA,92831,5.23,0.49
CONTRERAS,92660,4.72,0.24
BARNETT,92287,78.75,16.63
CALDWELL,91338,70.27,25.58
SANTIAGO,90967,5.86,1.46
LAMBERT,90618,85.71,9.34
POWERS,90401,91.01,5.14
CHAMBERS,90325,68.8,26.93
NUNEZ,90208,6.44,0.77
CRAIG,89591,81.17,14.47
LEONARD,89198,82.59,13.14
LOWE,89178,75.29,18.53
RHODES,88917,77.16,19.04
BYRD,88811,61.25,34.2
GREGORY,88810,80.87,14.62
SHELTON,88326,76.18,19.76
FRAZIER,88325,59.05,36.14
BECKER,88114,96.4,0.46
MALDONADO,88016,5.53,0.51
FLEMING,87949,74.59,21.51
VEGA,87728,6.46,0.6
SUTTON,87373,75.08,20.88
COHEN,87226,90.63,5.51
JENNINGS,87038,73.38,22.36
PARKS,86346,71.48,24.25
MCDANIEL,86317,78.48,17.53
WATTS,86228,70.81,24.96
BARKER,85221,88.54,7.24
NORRIS,85212,82.01,13.81
VAUGHN,85037,73.63,22.02
VAZQUEZ,84926,4.6,0.34
HOLT,84710,81.19,14.44
SCHWARTZ,84699,96.77,0.4
STEELE,84353,80.39,14.94
BENSON,84233,79.98,15.65
NEAL,83849,64.69,30.91
DOMINGUEZ,83731,6.16,0.43
HORTON,83523,72.15,23.5
TERRY,83437,68.82,26.63
WOLFE,83112,92.29,3.37
HALE,82955,83.99,11.17
LYONS,82258,76.88,18.55
GRAVES,82179,71.95,23.56
HAYNES,82037,63.72,32.01
MILES,81933,63.61,31.8
PARK,81890,30.06,0.82
WARNER,81824,86.32,9.69
PADILLA,81805,6.94,0.34
BUSH,81524,74.14,21.49
THORNTON,81191,69.33,26.53
MCCARTHY,81035,93.9,2.78
MANN,81022,83.1,9.68
ZIMMERMAN,80944,94.81,2.27
ERICKSON,80936,96.39,0.24
FLETCHER,80932,75.52,19.92
MCKINNEY,80616,71.57,24.31
PAGE,80493,77.16,18.66
DAWSON,80190,70.48,25.22
JOSEPH,80030,35.48,48.84
MARQUEZ,79951,5.69,0.56
REEVES,79817,79.79,15.66
KLEIN,79685,96.53,0.3
ESPINOZA,79322,4.38,0.25
BALDWIN,79151,79.12,16.51
MORAN,78546,71.43,2.44
LOVE,78323,59.3,36.26
ROBBINS,78141,89.09,7.03
HIGGINS,78107,85.92,10.27
BALL,77561,84.53,11.7
CORTEZ,77492,7.03,0.72
LE,77453,1.83,0.29
GRIFFITH,77429,85.82,9.8
BOWEN,77078,84.52,11.06
SHARP,76868,85.12,10.5
CUMMINGS,76707,75.47,18.38
RAMSEY,76625,79.54,16.13
HARDY,76608,63.67,31.73
SWANSON,76539,92.01,4.59
BARBER,76504,77.88,17.4
ACOSTA,76477,8.04,0.69
LUNA,76127,9.78,0.37
CHANDLER,76114,76.77,19.11
BLAIR,75135,82.13,13.52
DANIEL,75135,67.02,24.05
CROSS,75134,77.68,17.63
SIMON,74839,69.94,20.95
DENNIS,74784,68.5,26.49
OCONNOR,74756,94.75,1.74
QUINN,74531,88.13,7.91
GROSS,74285,86.61,9.85
NAVARRO,73970,7.9,0.45
MOSS,73750,71.87,24.11
FITZGERALD,73522,88.03,8.44
DOYLE,73518,90.74,5.37
MCLAUGHLIN,73128,89.65,6.73
ROJAS,73071,4.77,0.43
RODGERS,73021,72.92,22.64
STEVENSON,72892,65.79,29.69
SINGH,72642,3.51,3.09
YANG,72627,0.95,0.13
FIGUEROA,72533,5.46,0.93
HARMON,72414,80.01,15.95
NEWTON,72328,77.9,17.74
PAUL,72248,73.8,16.16
MANNING,72069,76.64,19.14
GARNER,72052,74.14,21.99
MCGEE,71925,64.94,30.69
REESE,71754,68.17,27.73
FRANCIS,71723,63.89,27.57
BURGESS,71604,77.77,17.43
ADKINS,71528,88.92,7.52
GOODMAN,71482,80.66,15.12
CURRY,71344,61.73,34.25
BRADY,71175,89.02,6.56
CHRISTENSEN,71144,95.86,0.27
POTTER,71103,90.33,5.19
WALTON,70997,62.56,33.54
GOODWIN,70333,78.97,16.82
MULLINS,70286,89.92,6.75
MOLINA,70211,6.6,0.46
WEBSTER,70123,76.16,18.51
FISCHER,70095,95.71,0.86
CAMPOS,69950,7.55,0.3
AVILA,69843,8.33,0.4
SHERMAN,69840,84.91,10.9
TODD,69810,82.81,12.95
CHANG,69756,2.28,0.94
BLAKE,69279,74.04,21.11
MALONE,69257,69.8,26.01
WOLF,68905,94.96,1.04
HODGES,68868,75.92,19.89
JUAREZ,68785,4.08,0.22
GILL,68699,70.9,14.15
FARMER,68309,79.01,16.88
HINES,68145,60.48,35.62
GALLAGHER,68075,96.08,0.58
DURAN,68046,11.58,0.56
HUBBARD,68021,73.47,22.2
CANNON,67923,72.24,23.73
MIRANDA,67646,14.34,0.97
WANG,67570,3.25,0.19
SAUNDERS,67210,69.67,25.59
TATE,67208,58.16,37.54
MACK,67154,47.35,48.38
HAMMOND,67063,80.78,15.11
CARRILLO,67054,6.04,0.27
TOWNSEND,66853,70.59,25.03
WISE,66738,80.67,14.97
INGRAM,66665,63.69,32.14
BARTON,66622,87.13,7.55
MEJIA,66534,3.99,0.49
AYALA,66515,4.77,0.57
SCHROEDER,66412,96.74,0.23
HAMPTON,66378,56.28,39.52
ROWE,66205,82.19,13.53
PARSONS,66203,92.71,3.39
FRANK,65918,86.69,7.38
WATERS,65817,75.27,20.52
STRICKLAND,65814,78.49,16.14
OSBORNE,65802,83.98,11.98
MAXWELL,65779,75.79,19.66
CHAN,65719,2.72,0.54
DELEON,65598,7.55,1.06
NORMAN,65269,71.58,24.13
HARRINGTON,65131,83.92,11.97
CASEY,64815,88.51,7.25
PATTON,64772,75.56,20.18
LOGAN,64576,67.08,27.1
BOWERS,64496,85.34,10.94
MUELLER,64305,96.96,0.23
GLOVER,64180,54.91,40.96
FLOYD,64141,67.94,28.3
HARTMAN,63827,95.42,1.5
BUCHANAN,63825,79.92,15.91
COBB,63739,72.07,24.24
FRENCH,63149,87.74,7.65
KRAMER,63023,96.47,0.28
MCCORMICK,62663,89.1,7.24
CLARKE,62546,66.14,28.18
TYLER,62534,64.08,30.74
GIBBS,62514,67.84,27.75
MOODY,62344,72.99,22.54
CONNER,62335,80.81,15.41
SPARKS,62234,85.92,10
MCGUIRE,62116,89.56,6.19
LEON,62034,13.02,3.02
BAUER,61979,96.34,0.34
NORTON,61805,89.66,6.08
POPE,61750,72.86,23.12
FLYNN,61747,93.64,2.8
HOGAN,61651,82.38,13.86
ROBLES,61619,5.88,0.51
SALINAS,61582,5.68,0.2
YATES,61400,82.61,13.29
LINDSEY,61199,70.65,24.56
LLOYD,61154,74.91,21.15
MARSH,60999,85.01,11.32
MCBRIDE,60874,76.51,19.02
OWEN,60461,93.36,2.37
SOLIS,60045,5.86,0.45
PHAM,59949,1.31,0.18
LANG,59843,84.16,9.9
PRATT,59801,80.27,14.77
LARA,59731,6.28,0.42
BROCK,59682,85.02,11.18
BALLARD,59660,77.29,18.46
TRUJILLO,59609,9.07,0.2
SHAFFER,59227,94.61,2.2
DRAKE,59055,81.84,14.21
ROMAN,59020,25.56,1.98
AGUIRRE,58918,6.28,0.28
MORTON,58788,75.94,19.46
STOKES,58687,60.78,35.09
LAMB,58555,87.41,8.45
PACHECO,58534,18.19,0.5
PATRICK,58257,76.02,19.4
COCHRAN,58233,87.03,8.61
SHEPHERD,57935,80.98,14.74
CAIN,57873,80.07,15.95
BURNETT,57859,72.77,22.7
HESS,57822,95.94,0.86
LI,57786,1.28,0.12
CERVANTES,57685,3.96,0.12
OLSEN,57357,95.28,0.28
BRIGGS,57297,77.89,17.99
OCHOA,57210,5.18,0.33
CABRERA,57171,5.48,0.45
VELASQUEZ,57163,5.34,0.57
MONTOYA,57075,8.74,0.24
ROTH,57030,96.27,0.46
MEYERS,56744,91.17,4.49
CARDENAS,56618,5.14,0.29
FUENTES,56441,5.76,0.49
WEISS,56153,96.45,0.36
HOOVER,56068,93.27,3.25
WILKINS,56068,65.2,30.04
NICHOLSON,55986,77,18.74
UNDERWOOD,55973,81,14.49
SHORT,55903,85.71,9.93
CARSON,55821,74.27,21.14
MORROW,55664,81.58,14.32
COLON,55512,7.9,2.07
HOLLOWAY,55466,60.73,35.27
SUMMERS,55391,80.58,14.48
BRYAN,55269,84.48,10.23
PETERSEN,55185,95.15,1.14
MCKENZIE,55084,68.68,26.14
SERRANO,55057,6.33,0.75
WILCOX,54987,85.79,9.94
CAREY,54924,83.21,12.75
CLAYTON,54875,71.44,24.56
POOLE,54706,74.92,21.82
CALDERON,54691,5.92,0.67
GALLEGOS,54672,8.34,0.15
GREER,54611,75.62,20.62
RIVAS,54588,5.82,0.61
GUERRA,54575,12.73,0.74
DECKER,54450,95.37,0.82
COLLIER,54414,69.6,26.48
WALL,54401,87.8,8
WHITAKER,54343,73.4,23.2
BASS,54296,71.82,23.74
FLOWERS,54277,55.93,39.22
DAVENPORT,54206,73.94,21.72
CONLEY,54194,81.47,15.09
HOUSTON,54026,54.63,40.92
HUFF,53892,82.89,13.11
COPELAND,53771,68.57,27.32
HOOD,53737,76.59,19.08
MONROE,53475,65.22,28.87
MASSEY,53459,75.41,19.77
ROBERSON,53198,53.85,42.11
COMBS,53180,87.37,9.01
FRANCO,53161,19.29,0.55
LARSEN,52963,95.64,0.43
PITTMAN,52689,66.35,30
RANDALL,52495,76.37,18.86
SKINNER,52490,81.4,14.45
WILKINSON,52483,89.87,6.25
KIRBY,52473,87.47,8.78
CAMERON,52439,77.87,17.02
BRIDGES,52260,70.46,25.54
ANTHONY,52146,63.43,30.43
RICHARD,52138,73.19,22.09
KIRK,52056,84.75,10.42
BRUCE,52004,79.85,14.99
SINGLETON,51797,48.33,48.12
MATHIS,51796,64.71,31.54
BRADFORD,51726,67.27,28.47
BOONE,51679,64.33,30.61
ABBOTT,51620,91,4.56
CHARLES,51518,38.87,47.28
ALLISON,51504,83.01,12.22
SWEENEY,51500,92.12,4.37
ATKINSON,51489,81.73,13
HORN,51380,86.75,8.31
JEFFERSON,51361,18.72,75.24
ROSALES,51336,4.19,0.35
YORK,51334,87.72,7.69
CHRISTIAN,51177,69.69,23.45
PHELPS,51154,86.82,9.28
FARRELL,51095,91.91,4.33
CASTANEDA,51089,4.45,0.19
NASH,51021,72.24,23.53
DICKERSON,51017,65.09,30.91
BOND,50980,78.18,17.05
WYATT,50874,77.88,17.93
FOLEY,50852,93.6,3.27
CHASE,50777,83.65,10.98
GATES,50748,77.13,18.66
VINCENT,50628,82.26,12.05
MATHEWS,50608,76.9,15.77
HODGE,50577,71.1,24.27
GARRISON,50482,85.31,10.45
TREVINO,50454,7.41,0.22
VILLARREAL,50351,6.57,0.16
HEATH,50307,82.73,13.48
DALTON,50166,88.39,7.51
VALENCIA,50026,5.89,0.54
CALLAHAN,49925,91.29,5.1
HENSLEY,49858,94.24,1.61
ATKINS,49754,70.28,25.51
HUFFMAN,49737,92.88,3.92
ROY,49725,79.9,9.25
BOYER,49601,90.58,4.93
SHIELDS,49556,78.28,17.26
LIN,49360,2.29,0.13
HANCOCK,49330,88.67,7.61
GRIMES,49245,77.42,18.51
GLENN,49241,63.64,32.18
CLINE,49167,94.18,2.1
DELACRUZ,49158,4.54,0.47
CAMACHO,49000,7.13,0.57
DILLON,48833,86.04,9.08
PARRISH,48823,81.95,13.54
ONEILL,48656,94.28,1.01
MELTON,48594,82.29,13.59
BOOTH,48580,85.15,10.32
KANE,48527,91.64,3.38
BERG,48480,95.91,0.39
HARRELL,48471,68.77,27.8
PITTS,48462,65.91,30.26
SAVAGE,48367,77.24,18.59
WIGGINS,48355,57.23,38.71
BRENNAN,48296,95.97,0.69
SALAS,48282,6.83,0.32
MARKS,48281,81.35,13.47
RUSSO,48126,95.14,0.35
SAWYER,47979,82.52,13.29
BAXTER,47857,82.59,13.24
GOLDEN,47839,76.78,19.22
HUTCHINSON,47809,78.4,17
LIU,47665,1.83,0.15
WALTER,47615,90.17,5.96
MCDOWELL,47526,72.22,23.85
WILEY,47503,67.53,28.42
RICH,47477,86.98,8.91
HUMPHREY,47470,74.03,21.94
JOHNS,47289,81.25,12.7
KOCH,47286,96.89,0.19
SUAREZ,47235,9.32,0.67
HOBBS,47220,80.8,15.36
BEARD,47128,77.09,18.93
GILMORE,47050,68.2,27.09
IBARRA,46895,3.24,0.14
KEITH,46747,81.17,14.1
MACIAS,46739,5.26,0.18
KHAN,46713,7.92,3.26
ANDRADE,46702,16.92,1.67
WARE,46682,51.5,43.85
STEPHENSON,46662,83.02,12.49
HENSON,46609,84.46,10.34
WILKERSON,46605,66.92,28.77
DYER,46574,85.82,10.08
MCCLURE,46505,86.71,9.19
BLACKWELL,46495,67.71,28.04
MERCADO,46437,5.68,0.56
TANNER,46412,84.06,11.26
EATON,46403,86.74,9.49
CLAY,46264,55.4,39.83
BARRON,46196,53.82,9.41
BEASLEY,46179,69.02,27.01
ONEAL,46161,66.96,28.52
PRESTON,45850,75.24,19.95
SMALL,45850,64.63,30.53
WU,45815,1.32,0.19
ZAMORA,45806,5.99,0.22
MACDONALD,45782,95.05,1.04
VANCE,45763,83.42,12.46
SNOW,45689,86.75,8.55
MCCLAIN,45560,64.2,31.73
STAFFORD,45349,81.14,14.72
OROZCO,45289,3.86,0.12
BARRY,45044,89.21,6.83
ENGLISH,45032,74.07,21.27
SHANNON,44902,77.39,18.73
KLINE,44900,95.38,1.55
JACOBSON,44874,96.05,0.38
WOODARD,44830,62.49,33.58
HUANG,44715,1.03,0.09
KEMP,44701,73.76,22.17
MOSLEY,44698,42.69,52.83
PRINCE,44640,70.04,24.75
MERRITT,44626,77.23,18.95
HURST,44587,86.51,10
VILLANUEVA,44570,4.88,0.39
ROACH,44454,82.24,13.23
NOLAN,44421,88.58,7.24
LAM,44385,7.82,0.42
YODER,44245,98.11,0.14
MCCULLOUGH,44123,75.87,20.44
LESTER,43919,77.72,18.1
SANTANA,43875,6.2,1.14
VALENZUELA,43770,5.55,0.21
WINTERS,43762,81.09,14.47
BARRERA,43720,5.79,0.24
LEACH,43666,82.67,13.26
ORR,43666,81.82,13.99
BERGER,43556,93.9,2.39
MCKEE,43555,89.46,6.28
STRONG,43430,69.4,25.19
CONWAY,43395,83.65,12.16
STEIN,43331,95.59,0.9
WHITEHEAD,43310,72.87,23.3
BULLOCK,43021,64.13,32
ESCOBAR,42955,6.32,0.46
KNOX,42937,65.71,30.25
MEADOWS,42884,82.93,13.59
SOLOMON,42839,62.53,29.65
VELEZ,42820,7.22,0.97
ODONNELL,42802,96.46,0.38
KERR,42758,89.19,6.31
STOUT,42669,93.47,2.19
BLANKENSHIP,42663,94.98,1.8
BROWNING,42642,88.99,7.06
KENT,42597,86.06,9.88
LOZANO,42567,6.6,0.26
BARTLETT,42512,92.43,3.37
PRUITT,42463,75.13,20.8
BUCK,42441,89.86,5.42
BARR,42432,84.99,10.98
GAINES,42369,45.12,50.27
DURHAM,42365,75.5,20.74
GENTRY,42357,84.11,11.83
MCINTYRE,42335,81.17,15.14
SLOAN,42281,81.91,13.08
MELENDEZ,42139,5.63,1
ROCHA,42139,17.47,0.42
HERMAN,42091,92.35,3.01
SEXTON,42080,92.92,3.38
MOON,42062,70.43,10.28
HENDRICKS,41879,78.17,16.55
RANGEL,41868,6.08,0.23
STARK,41863,93.71,2.4
LOWERY,41670,70.35,22.05
HARDIN,41664,79.56,15.62
HULL,41656,87.34,8.23
SELLERS,41561,78.89,16.91
ELLISON,41459,68.41,27.61
CALHOUN,41452,64.38,31.86
GILLESPIE,41393,83.59,12.8
MORA,41348,8.64,0.42
KNAPP,41267,95.9,0.55
MCCALL,41231,68.45,27.69
MORSE,41112,91.55,4.35
DORSEY,41104,43.97,51.81
WEEKS,41053,86.04,9.64
NIELSEN,41007,95.63,0.29
LIVINGSTON,40964,74.69,19.78
LEBLANC,40923,88.09,7.94
MCLEAN,40871,70.6,24.8
BRADSHAW,40794,80.46,15.58
GLASS,40724,79.39,16.46
MIDDLETON,40708,69.3,27.04
BUCKLEY,40706,85.21,10.72
SCHAEFER,40663,96.61,0.38
FROST,40582,88,7.34
HOWE,40555,92.25,2.77
HOUSE,40477,77.33,17.85
MCINTOSH,40453,72.78,22.22
HO,40413,2.69,0.26
PENNINGTON,40339,89.36,7.05
REILLY,40310,96.07,0.56
HEBERT,40283,91.99,4.74
MCFARLAND,40244,80.85,15.39
HICKMAN,40224,77.49,17.87
NOBLE,40217,80.83,13.46
SPEARS,40203,69.54,25.63
CONRAD,40102,93.61,2.82
ARIAS,40086,5.8,0.38
GALVAN,40046,6.87,0.21
VELAZQUEZ,40030,3.96,0.51
HUYNH,40011,1.02,0.11
FREDERICK,39909,82.9,12.8
RANDOLPH,39742,58.2,37.29
CANTU,39601,7.67,0.54
FITZPATRICK,39501,87.12,9.21
MAHONEY,39440,92.62,4.09
PECK,39432,92.39,3.45
VILLA,39402,10.17,0.43
MICHAEL,39369,86.36,7.62
DONOVAN,39270,94.59,1.7
MCCONNELL,39203,90.56,5.67
WALLS,39166,70.97,25
BOYLE,39141,95.02,1.83
MAYER,39111,94.55,1.17
ZUNIGA,39057,4.57,0.42
GILES,39002,67.59,26.14
PINEDA,38999,4.29,0.35
PACE,38975,80.08,15.91
HURLEY,38971,91.9,4.48
MAYS,38914,57.59,38.43
MCMILLAN,38896,70.88,24.45
CROSBY,38844,72.62,23.1
AYERS,38836,85,11.37
CASE,38759,93.55,2
BENTLEY,38714,84,12.12
SHEPARD,38705,78.43,17.14
EVERETT,38702,71.64,23.31
PUGH,38691,69.78,26.94
DAVID,38659,65.29,13.75
MCMAHON,38557,94.85,1.97
DUNLAP,38516,77.58,18.61
BENDER,38464,90.21,6.15
HAHN,38354,91.64,0.38
HARDING,38340,82.19,13.2
ACEVEDO,38232,5.58,0.67
